period;campaign_id;amount; Shows; Clicks;Convertion
Февраль;31938;25009,83;142093;1193;1
Март;31938;41008,55;140402;628;1
Февраль;31940;5688,82;32944;325;1
Март;31940;15180,03;29920;128;1
Февраль;31941;6780,24;38739;361;1
Март;31941;15781,14;32966;163;1
Февраль;31942;5815,81;35299;371;1
Март;31942;14758,24;37355;180;1
Февраль;31943;6393,77;33591;360;1
Март;31943;15838,11;27471;132;1
Февраль;289001;1541,89;2043;23;1
Март;289001;1379,6;2535;15;1
Февраль;289137;25264,8;235034;900;1
Март;289137;0;14;0;1
Февраль;289138;5468,59;56535;230;1
Февраль;328525;9636,65;52555;228;1
Февраль;785801;135;1385;1;1
Февраль;785802;3349,42;36185;71;1
Март;785802;624,3;6452;14;1
Февраль;791016;1460,82;14699;18;1
Март;791016;6967,59;63467;92;1
Февраль;791017;2642,14;29410;54;1
Март;791017;44722,04;494642;946;1
Февраль;791096;1239,21739;30731;9;1
Март;791096;6825,73253;136312;34;1
Февраль;795402;3194,71;37123;59;1
Март;795402;17520;189557;328;1
Февраль;905949;388,77;1928;11;1
Март;905949;18393,74;252676;369;1
Февраль;905950;212,79;1395;7;1
Март;905950;18315,9;255719;309;1
Февраль;905951;227,02;2751;4;1
Март;905951;20902,47;284795;362;1
Март;915155;110392,0684;437171;2415;1
Март;915156;90443,19123;647138;4085;1
Март;915157;90517,92757;359726;1781;1
Март;915534;60848,60277;180807;977;1
Март;916609;13022,7;51932;292;1
Март;930245;19435,22;213819;282;1
Март;931115;8285,72736;209973;33;1
Март;931507;9016,09;107935;110;1
Март;68495;36764,23;89603;932;1
Март;154637;80897,38;375732;2082;1
Март;154731;20119;67708;344;1
Март;154784;15405,79;172855;804;1
Март;154818;12484,92;54801;270;2
Март;155509;15347,62;128650;628;3
Март;156823;27038,21072;270328;1970;4
Март;157020;4532,12755;22745;107;1
Март;157633;4597,97228;60555;650;1
Март;157634;4523,72178;21822;113;1
Март;157635;26909,71339;127367;573;1
Март;157636;4222,3576;1862;19;1
Март;161539;80500,9;392688;2254;1
Март;161976;22805,32;121355;607;1
Март;162113;22650,12;90321;513;1
Март;162190;79579,78;223689;1106;1
Март;173110;18017,59;137538;261;5
Март;173700;20003,6;160437;234;1
Март;175367;14521,24;190632;343;1
Март;176792;13686,11997;246176;72;1
Март;176871;8178,57;66197;95;1
Март;348311;30302,81;395668;1021;1
Март;364745;1613,54;5786;17;1
Март;364746;9711,87;139680;217;1
Март;366639;1417,28;6942;17;1
Март;366757;7379,17;110407;360;1
Март;484831;4287,66;26400;113;1
Март;484895;382,86;4719;31;1
Март;485028;25145,92;189943;1600;1
Март;485078;25667,13;218639;2090;1
Март;485170;24704,6;158993;1707;1
Март;485387;4234,7;22397;132;1
Март;581939;10879,45;93581;175;1
Март;700733;6725,11;61865;329;1
Март;700734;5865,46;34491;114;1
Март;702388;5353,44;20656;67;1
Март;702389;6445,43;75533;382;1
Март;702390;5784,15;44428;203;1
Март;801682;1626,99;13645;49;1
Март;802078;2515,33;19991;82;1
Март;803200;2419,64;14316;27;1
Март;803531;7418,76;18671;85;1
Март;803675;2152,94;16749;57;1
Март;803676;2292,92;21781;61;1
Март;803787;4482,86;25678;61;1
Март;803808;7705,01;30799;385;1
Март;803911;7870,96;59463;343;1
Март;804677;5771,85;10752;62;1
Март;804882;7815,81;83055;270;1
Март;804957;8001,02;16355;86;1
Март;805186;1023,68436;23412;7;1
Март;805187;1006,95643;22416;9;1
Март;805489;2367,88;8706;29;1
Март;805490;1680,21;12727;27;1
Март;807636;18088,79;65189;361;1
Март;808290;2807,24;8953;56;1
Март;808732;19879,43;72570;414;1
Март;808830;5122,51;18447;104;1
Март;808945;3149,69;11910;84;1
Март;809004;7367,32;22062;123;1
Март;810674;2858,10936;8850;72;1
Март;810675;3792,46371;4886;39;1
Март;810820;22671,1404;46247;342;1
Март;810821;22647,38436;24842;102;1
Март;857967;8995,30487;1479;9;1
Март;858737;10031,07981;94207;940;1
Март;858738;9662,51913;14515;81;1
Март;888507;15506,98;121373;868;1
Март;890233;12642,73;24444;150;1
Март;890234;9948,51;43488;131;1
Март;890235;11824,58;25309;136;1
Март;892106;19326,93123;265202;218;1
Март;895242;13348,45;102386;371;1
Март;896664;8194,38338;114097;49;1
Март;896772;2467,44585;34126;30;1
Март;896868;13822,57261;188904;132;1
Март;999295;1894,88477;25944;20;1
Март;10204;7694,20555;33979;151;1
Март;10205;7541,55055;31343;124;1
Март;76953;7445,73125;65029;407;1
Март;97536;1609,1;6863;28;1
Март;97904;1023;6284;20;1
Март;98014;3560,68;39510;136;1
Март;98015;2928,27;7986;74;1
Март;98093;814,43;2391;8;1
Март;98169;675,79;1968;7;1
Март;98875;845,45;3859;8;1
Март;125579;2610,54;31540;103;1
Март;131194;1352,02;10000;31;1
